,pitch,velocity,start,end,duration,velocity_quantized,start_quantized,end_quantized
353,65,51,28.863636363636363,28.922727272727272,0.05909090909090864,50,28.85,28.900000000000002
354,62,50,28.875,28.956818181818182,0.08181818181818201,50,28.900000000000002,28.950000000000003
355,61,54,29,29.099999999999998,0.09999999999999787,55,29,29.1
356,62,55,29.12272727272727,29.209090909090907,0.08636363636363598,55,29.1,29.200000000000003
357,53,54,29.125,29.18409090909091,0.05909090909090864,55,29.1,29.200000000000003
358,69,57,29.254545454545454,29.331818181818182,0.07727272727272805,55,29.25,29.35
359,62,55,29.39090909090909,29.443181818181817,0.052272727272725916,55,29.400000000000002,29.450000000000003
360,65,52,29.4,29.436363636363634,0.036363636363635266,50,29.400000000000002,29.450000000000003
361,69,62,29.495454545454542,29.581818181818182,0.08636363636363953,60,29.5,29.6
362,62,57,29.636363636363637,29.690909090909088,0.05454545454545112,55,29.650000000000002,29.700000000000003
363,53,46,29.65,29.7,0.05000000000000071,45,29.650000000000002,29.700000000000003
364,69,54,29.745454545454542,29.827272727272724,0.08181818181818201,55,29.75,29.85
365,62,40,29.886363636363637,29.95,0.0636363636363626,40,29.900000000000002,29.950000000000003
366,65,45,29.9,29.938636363636363,0.038636363636364024,45,29.900000000000002,29.950000000000003
367,69,56,29.988636363636363,30.086363636363636,0.09772727272727266,55,30,30.1
368,64,58,30.125,30.190909090909088,0.06590909090908781,60,30.1,30.200000000000003
369,61,49,30.138636363636362,30.18181818181818,0.04318181818181799,50,30.150000000000002,30.200000000000003
370,69,55,30.252272727272725,30.370454545454542,0.11818181818181728,55,30.25,30.35
371,67,48,30.395454545454545,30.43181818181818,0.036363636363635266,50,30.400000000000002,30.450000000000003
372,62,51,30.520454545454545,30.586363636363636,0.06590909090909136,50,30.5,30.6
373,64,59,30.627272727272725,30.718181818181815,0.09090909090908994,60,30.650000000000002,30.700000000000003
374,61,54,30.638636363636362,30.693181818181817,0.054545454545454675,55,30.650000000000002,30.700000000000003
375,69,56,30.76590909090909,30.825,0.05909090909090864,55,30.75,30.8
376,67,52,30.886363636363633,30.929545454545455,0.04318181818182154,50,30.900000000000002,30.950000000000003
377,64,55,30.888636363636362,30.94772727272727,0.05909090909090864,55,30.900000000000002,30.950000000000003
378,69,49,31.013636363636362,31.07272727272727,0.05909090909090864,50,31,31.05
379,61,50,31.138636363636362,31.2,0.0613636363636374,50,31.150000000000002,31.200000000000003
380,64,50,31.14772727272727,31.204545454545453,0.05681818181818343,50,31.150000000000002,31.200000000000003
381,69,49,31.24772727272727,31.318181818181817,0.07045454545454533,50,31.25,31.3
382,64,48,31.39090909090909,31.456818181818182,0.06590909090909136,50,31.400000000000002,31.450000000000003
383,67,43,31.4,31.43409090909091,0.03409090909091006,45,31.400000000000002,31.450000000000003
384,69,55,31.49772727272727,31.547727272727272,0.05000000000000071,55,31.5,31.55
385,65,55,31.620454545454542,31.768181818181816,0.14772727272727337,55,31.6,31.75
386,69,70,31.68409090909091,31.779545454545453,0.0954545454545439,70,31.700000000000003,31.8
387,71,34,31.802272727272726,31.845454545454544,0.04318181818181799,35,31.8,31.85
388,73,64,31.80909090909091,31.904545454545453,0.0954545454545439,65,31.8,31.900000000000002
389,74,64,31.888636363636362,32,0.11136363636363811,65,31.900000000000002,32
390,65,37,31.961363636363636,31.993181818181817,0.0318181818181813,35,31.950000000000003,32
391,69,67,32.013636363636365,32.08181818181818,0.06818181818181301,65,32,32.1
392,65,57,32.127272727272725,32.23863636363636,0.11136363636363455,55,32.15,32.25
393,62,49,32.14772727272727,32.19090909090909,0.043181818181814435,50,32.15,32.2
394,69,67,32.23863636363636,32.31818181818182,0.07954545454546036,65,32.25,32.300000000000004
395,74,63,32.388636363636365,32.461363636363636,0.07272727272727053,65,32.4,32.45
396,65,33,32.42727272727272,32.470454545454544,0.04318181818182154,35,32.45,32.45
397,69,59,32.50909090909091,32.57272727272727,0.0636363636363626,60,32.5,32.550000000000004
398,65,50,32.64090909090909,32.70454545454545,0.0636363636363626,50,32.65,32.7
399,62,52,32.64090909090909,32.68863636363636,0.04772727272727195,50,32.65,32.7
400,69,62,32.752272727272725,32.809090909090905,0.05681818181817988,60,32.75,32.800000000000004
401,65,55,32.888636363636365,32.93181818181818,0.043181818181814435,55,32.9,32.95
402,74,66,32.888636363636365,33.01136363636363,0.12272727272726769,65,32.9,33
403,69,55,33.013636363636365,33.059090909090905,0.04545454545453964,55,33,33.050000000000004
404,60,59,33.15909090909091,33.211363636363636,0.05227272727272947,60,33.15,33.2
405,66,70,33.168181818181814,33.25681818181818,0.08863636363636829,70,33.15,33.25
406,74,66,33.304545454545455,33.4,0.0954545454545439,65,33.300000000000004,33.4
407,69,58,33.418181818181814,33.46363636363636,0.045454545454546746,60,33.4,33.45
408,66,68,33.425,33.52045454545454,0.0954545454545439,70,33.4,33.5
409,64,63,33.55227272727272,33.64090909090909,0.08863636363636829,65,33.550000000000004,33.65
410,60,62,33.67272727272727,33.72272727272727,0.04999999999999716,60,33.65,33.7
411,66,68,33.67727272727272,33.75909090909091,0.08181818181818556,70,33.7,33.75
412,74,64,33.809090909090905,33.861363636363635,0.05227272727272947,65,33.800000000000004,33.85
413,69,70,33.93181818181818,33.98409090909091,0.05227272727272947,70,33.95,34
414,66,73,33.934090909090905,33.98409090909091,0.05000000000000426,75,33.95,34
415,74,66,34.06590909090909,34.12272727272727,0.05681818181817988,65,34.050000000000004,34.1
416,60,67,34.184090909090905,34.23409090909091,0.05000000000000426,65,34.2,34.25
417,66,73,34.19772727272727,34.25681818181818,0.05909090909091219,75,34.2,34.25
418,74,69,34.336363636363636,34.41590909090909,0.07954545454545325,70,34.35,34.4
419,69,71,34.44772727272727,34.49545454545454,0.04772727272727195,70,34.45,34.5
420,66,71,34.45681818181818,34.559090909090905,0.10227272727272663,70,34.45,34.550000000000004
421,74,72,34.57272727272727,34.668181818181814,0.0954545454545439,70,34.550000000000004,34.65
422,67,72,34.675,34.78181818181818,0.10681818181818414,70,34.65,34.800000000000004
423,59,63,34.68863636363636,34.76590909090909,0.07727272727272805,65,34.7,34.75
424,69,71,34.75681818181818,34.85,0.0931818181818187,70,34.75,34.85
425,71,74,34.824999999999996,34.92727272727272,0.10227272727272663,75,34.800000000000004,34.95
426,72,68,34.88181818181818,34.96363636363636,0.08181818181817846,70,34.9,34.95
427,67,68,34.929545454545455,34.96818181818182,0.038636363636364024,70,34.95,34.95
428,74,85,34.934090909090905,35.00454545454545,0.07045454545454533,85,34.95,35
429,71,74,35.08409090909091,35.138636363636365,0.054545454545454675,75,35.1,35.15
430,67,68,35.19318181818181,35.252272727272725,0.05909090909091219,70,35.2,35.25
431,71,76,35.31818181818181,35.37954545454545,0.0613636363636374,75,35.300000000000004,35.4
432,74,83,35.44090909090909,35.53409090909091,0.0931818181818187,85,35.45,35.550000000000004
433,67,73,35.449999999999996,35.49545454545454,0.045454545454546746,75,35.45,35.5
434,71,75,35.56136363636364,35.64090909090909,0.07954545454545325,75,35.550000000000004,35.65
435,59,75,35.69090909090909,35.76590909090909,0.07500000000000284,75,35.7,35.75
436,67,79,35.69772727272727,35.763636363636365,0.06590909090909491,80,35.7,35.75
437,71,83,35.81363636363636,35.90909090909091,0.0954545454545439,85,35.800000000000004,35.9
438,67,81,35.934090909090905,35.98863636363636,0.054545454545454675,80,35.95,36
439,74,85,35.95227272727273,36.07272727272727,0.12045454545454248,85,35.95,36.050000000000004
440,71,72,36.059090909090905,36.152272727272724,0.0931818181818187,70,36.050000000000004,36.15
441,64,83,36.17727272727272,36.25681818181818,0.07954545454546036,85,36.2,36.25
442,68,91,36.18863636363636,36.30681818181818,0.11818181818181728,90,36.2,36.300000000000004
443,74,84,36.30681818181818,36.449999999999996,0.14318181818181586,85,36.300000000000004,36.45
444,71,85,36.43636363636364,36.502272727272725,0.06590909090908781,85,36.45,36.5
445,68,81,36.44772727272727,36.543181818181814,0.0954545454545439,80,36.45,36.550000000000004
446,66,79,36.55,36.65,0.10000000000000142,80,36.550000000000004,36.65
447,68,83,36.67727272727272,36.77045454545454,0.0931818181818187,85,36.7,36.75
448,64,67,36.684090909090905,36.736363636363635,0.05227272727272947,65,36.7,36.75
449,65,72,36.69090909090909,36.725,0.03409090909091361,70,36.7,36.7
450,74,82,36.788636363636364,36.89545454545454,0.10681818181817704,80,36.800000000000004,36.9
451,71,82,36.918181818181814,36.96818181818182,0.05000000000000426,80,36.9,36.95
452,68,87,36.92045454545455,36.99772727272727,0.07727272727272094,85,36.9,37
453,74,81,37.043181818181814,37.127272727272725,0.08409090909091077,80,37.050000000000004,37.15
454,68,90,37.16590909090909,37.25681818181818,0.09090909090909349,90,37.15,37.25
455,64,78,37.168181818181814,37.236363636363635,0.06818181818182012,80,37.15,37.25
456,74,85,37.28409090909091,37.38636363636363,0.10227272727272663,85,37.300000000000004,37.4
457,71,89,37.40681818181818,37.465909090909086,0.059090909090905086,90,37.4,37.45
458,68,83,37.40909090909091,37.53181818181818,0.1227272727272748,85,37.4,37.550000000000004
459,74,77,37.525,37.67045454545455,0.14545454545454817,75,37.5,37.65
460,57,75,37.65,38.10454545454545,0.45454545454545325,75,37.65,38.1
461,72,90,37.654545454545456,38.25454545454545,0.5999999999999943,90,37.65,38.25
462,69,91,37.775,37.90909090909091,0.13409090909090793,90,37.75,37.9
463,67,78,37.90681818181818,38.05,0.14318181818181586,80,37.9,38.050000000000004
464,65,77,38.027272727272724,38.12954545454545,0.10227272727272663,75,38.050000000000004,38.15
465,64,70,38.13181818181818,38.25909090909091,0.1272727272727252,70,38.15,38.25
466,62,70,38.27272727272727,38.42727272727272,0.154545454545449,70,38.25,38.45
467,60,66,38.393181818181816,38.54772727272727,0.1545454545454561,65,38.400000000000006,38.550000000000004
468,59,67,38.502272727272725,38.70227272727273,0.20000000000000284,65,38.5,38.7
469,57,66,38.63636363636363,38.752272727272725,0.11590909090909207,65,38.650000000000006,38.75
470,60,59,38.78181818181818,38.92045454545455,0.13863636363636545,60,38.800000000000004,38.900000000000006
471,59,45,38.91590909090909,39.03181818181818,0.11590909090909207,45,38.900000000000006,39.050000000000004
472,57,60,39.02272727272727,39.084090909090904,0.06136363636363029,60,39,39.1
473,65,58,39.14772727272727,39.23181818181818,0.08409090909090366,60,39.150000000000006,39.25
474,62,56,39.27272727272727,39.377272727272725,0.10454545454545183,55,39.25,39.400000000000006
475,69,71,39.38863636363636,39.42272727272727,0.03409090909091361,70,39.400000000000006,39.400000000000006
476,57,58,39.404545454545456,39.470454545454544,0.06590909090908781,60,39.400000000000006,39.45
477,62,52,39.55,39.62045454545454,0.07045454545454533,50,39.550000000000004,39.6
478,74,68,39.64090909090909,39.67727272727272,0.03636363636363171,70,39.650000000000006,39.7
